customer_id,name,email,phone,address,city
C00001,Utkarsh Sheth,utkarsh.sheth1@gmail.com,7469089953,"08/948, Balakrishnan Path",Unnao
C00002,Yashica Venkataraman,yashica.venkataraman2@gmail.com,7466356815,"42/22, Koshy Road",Guntur
C00003,Daksha Pai,daksha.pai3@outlook.com,7186826128,"09/236, Krishnan Street",Mira-Bhayandar
C00004,Mugdha Patil,mugdha.patil4@gmail.com,6587186443,"H.No. 08, Dewan Chowk",Bikaner
C00005,Rushil Kurian,rushil.kurian5@gmail.com,8091001926,H.No. 29 Prabhu,Adoni
C00006,Baljiwan Kibe,baljiwan.kibe6@yahoo.com,6982924999,"25, Wable Nagar",Aurangabad
C00007,Manan Rau,manan.rau7@yahoo.com,6585056840,"49/614, Kalita Path",Ramagundam
C00008,Yug Madan,yug.madan8@yahoo.com,9862667226,"03, Handa Street",Vadodara
C00009,Janya Babu,janya.babu9@example.in,8001174032,02 Dubey,Hospet
C00010,Gagan Chaudhari,gagan.chaudhari10@gmail.com,7710449788,"58/36, Sodhi",Sasaram
C00011,Nidhi Shetty,nidhi.shetty11@yahoo.com,7758514933,H.No. 40 Suresh Chowk,Thane
C00012,Yauvani Viswanathan,yauvani.viswanathan12@gmail.com,9460555743,05 Misra Road,Thoothukudi
C00013,Bishakha Shetty,bishakha.shetty13@yahoo.com,8244098012,"H.No. 03, Jani Road",Khammam
C00014,Keya Hayre,keya.hayre14@yahoo.com,8232656018,94/960 Ganesh Path,Ambarnath
C00015,Mahika Kamdar,mahika.kamdar15@gmail.com,9824550403,H.No. 93 Narain Circle,Howrah
C00016,Rudra Batra,rudra.batra16@outlook.com,9411145068,H.No. 27 Dhaliwal Chowk,Ulhasnagar
C00017,Madhavi Som,madhavi.som17@example.in,7937370931,"83, Hayre Path",Ozhukarai
C00018,Gayathri Nayak,gayathri.nayak18@hotmail.com,7326555199,"73/53, Kata Nagar",Gudivada
C00019,Aarini Oza,aarini.oza19@hotmail.com,6215477346,H.No. 422 Kari Marg,Berhampore
C00020,Ria Sabharwal,ria.sabharwal20@yahoo.com,8289074812,"54/400, Mitra Nagar",Davanagere
C00021,Ranbir Pandit,ranbir.pandit21@example.in,7393522425,H.No. 483 Kuruvilla Ganj,Nizamabad
C00022,Zarna Bhatt,zarna.bhatt22@gmail.com,8334908660,56 Loke Chowk,Kharagpur
C00023,Anmol Sheth,anmol.sheth23@example.in,9871299028,"29/464, Mital Zila",Silchar
C00024,Hemal Boase,hemal.boase24@gmail.com,8008778536,"H.No. 814, Purohit",Hosur
C00025,Balhaar Bhargava,balhaar.bhargava25@example.in,9005377550,96/67 Oommen Circle,Aurangabad
C00026,Zarna Ramaswamy,zarna.ramaswamy26@hotmail.com,9144581346,"H.No. 771, Dutt",Kirari Suleman Nagar
C00027,Champak Johal,champak.johal27@gmail.com,7707312840,"H.No. 752, Thaman Ganj",Bangalore
C00028,Pranit Mangat,pranit.mangat28@yahoo.com,7407336375,"80, Rastogi Street",Naihati
